ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
9,1,linear,-1.1110891336488657,0.0006671751044213138,0.0,0.0,0.0,0.0,0.0,0.0,-20.063187434455482,-14.952014505305428,-1.2583408702266685
9,2,quadratic,-1.35013285385757,0.00529121410843961,-1.0550914215075503e-05,0.0,0.0,0.0,0.0,0.0,-38.412398142356736,-32.67975198574108,-0.7080768179627819
9,3,cubic,-1.5139987787963645,0.013219568612203794,-5.746317675884026e-05,6.805620450009234e-08,0.0,0.0,0.0,0.0,-70.07801239318414,-63.983633268843136,0.43826771244143836
9,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5,gompertz,0.0,0.0,0.0,0.0,-0.8418231431112669,-2757.997589808391,692.319779039844,-27.452055777902395,-62.77579008237217,-56.681410958031165,0.27000351492514896
9,6,baranyi,0.0,0.0,0.0,0.0,3.858611594480071,-0.9758913962308488,-0.030583212888359253,-3597.913054141465,-26.085399140353502,-19.9910200160125,-0.6041501190850889
9,7,buchanan,0.0,0.0,0.0,0.0,-0.638232020093519,-1.7423674915799068,0.0015362275234615573,-946.1957383096722,-14.608624910045013,-8.51424578570401,-1.258341023965949
10,1,linear,-1.2821936011813335,0.0039994308999369114,0.0,0.0,0.0,0.0,0.0,0.0,18.281289899192704,21.40544050249933,-3.1636613418639374
10,2,quadratic,-1.4893221978920046,0.027618690834352023,-0.00018559734044610134,0.0,0.0,0.0,0.0,0.0,-29.748125910104072,-27.09774328751341,0.6168235772274884
10,3,cubic,-1.6299611578851962,0.056466935647040375,-0.0007604227610768962,2.7323262160096938e-06,0.0,0.0,0.0,0.0,-33.425992880856256,-31.885741875345204,0.7573269456240075
10,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5,gompertz,0.0,0.0,0.0,0.0,-0.794112823664463,-5.119488318628914,0.8298607795906379,-9.390858404940536,3.243694168928945,4.783945174439996,-1.3885682231929044
10,6,baranyi,0.0,0.0,0.0,0.0,-0.7946549816152195,-1.986303807572199,0.2958874286131449,-2.611657579741714,3.29886120135391,4.839112206864961,-1.3981175411914504
10,7,buchanan,0.0,0.0,0.0,0.0,-0.8126220560153514,-24.987667796654115,0.266929890692236,-199.32583309428588,5.371729585253744,6.911980590764795,-1.6821250272023405
11,1,linear,-1.0328256845084964,0.002553995774093001,0.0,0.0,0.0,0.0,0.0,0.0,14.877364580687518,18.272053824329937,-1.1301166492896941
11,2,quadratic,-1.2449728735462828,0.026268206082652863,-0.0001860183500051076,0.0,0.0,0.0,0.0,0.0,-8.277300118343767,-5.1869452293846425,-0.05845870224780825
11,3,cubic,-1.4115304405520357,0.0575711133394727,-0.0008028670145562295,2.9187257501592313e-06,0.0,0.0,0.0,0.0,-8.09481317349315,-5.868233198657881,0.0674769255373846
11,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5,gompertz,0.0,0.0,0.0,0.0,-0.6522392585790308,-2.2582483466633976,0.3901007879396863,-2.8027497791112728,-12.37077459547211,-10.14419462063684,0.34496208625195524
11,6,baranyi,0.0,0.0,0.0,0.0,-0.6518875568820276,-1.792639866790998,0.3670878859956659,-0.76955840774138,-12.729781481361858,-10.503201506526588,0.3558980982780535
11,7,buchanan,0.0,0.0,0.0,0.0,-0.6557308971568357,-5.410011152578795,0.24668202912036682,-34.82168107158033,-13.25646940953855,-11.02988943470328,0.3651399152355841
12,1,linear,-1.476718269158193,0.0010271609358514465,0.0,0.0,0.0,0.0,0.0,0.0,-125.75679000482528,-120.11644097640432,0.40460926159602206
12,2,quadratic,-1.7533383045262976,0.003588347314017047,-3.815547723116325e-06,0.0,0.0,0.0,0.0,0.0,-172.7450583993813,-166.2358750794354,0.8852202771217604
12,3,cubic,-1.873636337005313,0.005942435570684042,-1.2734749741937152e-05,8.858451091071256e-09,0.0,0.0,0.0,0.0,-205.56276133375164,-198.39294885048594,0.9662584904364349
12,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
